id,reviewedAt,rating,isMarkedHelpful,reviewText,productCompleted,mostHelpfulVoteCount,users,user_id
55144905~COURSE!~x_SUy9dMEea_eBL1oycZBA,1588537122122,1,0,Content was at its bestBut i was cheated on not getting a certificate I am not sophisticated enough to buy this certificate ,0,0,Pavithran S,55144905
27890797~COURSE!~x_SUy9dMEea_eBL1oycZBA,1511887928361,1,0,bad course,0,0,AJAY GOGINENI,27890797
57877599~COURSE!~x_SUy9dMEea_eBL1oycZBA,1592903688974,3,0,fairly good,0,0,Mohammad Mostofa Kamal Shaikh ,57877599
34648746~COURSE!~x_SUy9dMEea_eBL1oycZBA,1556626280527,3,0,"Unplanted sludge drying beds are shallow filters filled with sand and gravel with an under-drain at
the bottom to collect leachate. Sludge is discharged onto the surface for dewatering (Figure 7.1). The
drying process in a drying bed is based on drainage of liquid through the sand and gravel to the bottom
of the bed, and evaporation of water from the surface of the sludge to the air. The design as well as the
operation of the drying bed is fairly straightforward, provided the sludge loading rate is well selected
and the inlet points for depositing the sludge onto the bed are properly designed. Depending on the
faecal sludge (FS) characteristics, a variable fraction of approximately 50-80% of the sludge volume
drains off as a liquid (or leachate), which needs to be collected and treated prior to discharge (Tilley
et al., 2014). After reaching the desired dryness, the sludge is removed from the bed manually or
mechanically. Further processing for stabilization and pathogen reduction may be required depending
on the intended end-use option. When considering the installation of a drying bed, the ease of operation
and low cost needs to be considered against the relatively large footprint and odor potential.",0,0,shweta mohurle,34648746
90916098~COURSE!~x_SUy9dMEea_eBL1oycZBA,1673618155314,4,0,très bon MOOC vraiment riche en enseignement dans la Gestion des boues fecales,0,0,Diallo Alpha Amadou,90916098
115119832~COURSE!~x_SUy9dMEea_eBL1oycZBA,1665337868910,4,0,​Excellent course. It helped me a lot to know something new in the field of city sanitation. This course is really fruitful for the sanitary engineers. The course instructors are also pretty good. Thank you for providing me with this opportunity to take this online course.,0,0,Birendra Kandel,115119832
103165924~COURSE!~x_SUy9dMEea_eBL1oycZBA,1647359926328,4,0,Excellent course!!!!,0,0,Sunil Barran,103165924
20680343~COURSE!~x_SUy9dMEea_eBL1oycZBA,1646672267588,4,0,"A​ very informative course! i learnt a lot and the level was such that it was always challenging and never boring. thank you to all the team of lecturers, first for your time sharing your knowledge and for the clarity of the course.",0,0,Diane Talbotier,20680343
82235066~COURSE!~x_SUy9dMEea_eBL1oycZBA,1618157007344,4,0,Very important for students interested in environmental engineering.,0,0,Shibin John,82235066
64812726~COURSE!~x_SUy9dMEea_eBL1oycZBA,1614818804856,4,0,course was very engaging.....so so much material to pour on.....,0,0,Joshua Adablah,64812726
25804845~COURSE!~x_SUy9dMEea_eBL1oycZBA,1604246679141,4,0,The course was very good and very informative,0,0,Kene Carol Dick,25804845
